***********************************************************
DATE		HOUR	AUTHOR			DESCRIPTION
***********************************************************
25/04/2025	10:40	Daniele Chiarion	Create folders to separate the parts of the project
25/04/2025	10:55	Daniele Chiarion	Create a _custom-variables.scss file where to put the variables used for the style of the website
25/04/2025	11:00	Daniele Chiarion	Test structure.scss and style.scss compiled in index.html
25/04/2025	17:55	Daniele Chiarion	Completed navbar for mobile device. Possible graphic effects and icon could be added later. 
26/04/2025	10:59 	Daniele Chiarion	Completed navbar for desktop PC. Possible icons could be added later. 
26/04/2025	15:04	Daniele Chiarion	Completed carousel for home Page. Logos and subtitle could be added later. 
26/04/2025	15:30 	Daniele Chiarion	Started home sections. Add card to complete.
27/04/2025	11:00	Daniele Chiarion	Correct navbar z-index parameter in order to display the collapse menu over the page.
27/04/2025	11:19	Daniele Chiarion	Completed card design and object for cars.
28/04/2025	18:55	Daniele Chiarion	Added home sections and completed car brand card.
29/04/2025	10:23	Daniele Chiarion	Start footer to be completed
29/04/2025  	10:43 	Davide Laghi 		Finished designing the purchase-list and started designing the shopping cart.
29/04/2025	11:19	Daniele Chiarion	Add new navbar for tablet to complete. Possible icons could be added later.
29/04/2025	17:15	Daniele Chiarion	Completed footer.
29/04/2025	18:23	Daniele Chiarion	Completed navbar for tablet devices.
29/04/2025	20:54	Daniele Chiarion	Add last links to the other pages of the site. Completed home-page sections.
30/04/2025	11:12	Daniele Chiarion	Add logo in the head of the site. 
01/05/2025	15:02	Daniele Chiarion	Add icons to the different navbars.
01/05/2025	15:21	Daniele Chiarion	Completed footer part. 
01/05/2025	15:41	Daniele Chiarion	Add terms and conditions page. 
01/05/2025	15:50	Daniele Chiarion	Starting with the car configurator page.
01/05/2025	16:20	Daniele Chiarion	Change the color of the thumb in the range input. 
01/05/2025	17:16	Daniele Chiarion	Completed car configurator page.
04/05/2025	19:59	Daniele Chiarion	Start car details page
05/05/2025	10:07	Daniele Chiarion	Completed table with car details
05/05/2025	10:12	Daniele Chiarion	Completed page of the car details with the buttons and the responsive settings.
05/05/2025	11:23	Daniele Chiarion	Completed content part of the login page. Style part is missing.
05/05/2025	16:31	Daniele Chiarion	Login part completed.
05/05/2025	17:01	Daniele Chiarion	Change buttons in the car details page adding icons for each operation.
05/05/2025	17:13	Daniele Chiarion	Completed sign up page. 
05/05/2025	17:24	Daniele Chiarion	Add and define style for possible success or error messages.
07/05/2025  	11:46 	Davide Laghi 		Added and defined a new image to images.
07/05/2025  	11:58 	Davide Laghi 		Added footer and made Card stay in different collums to the shopping cart.
07/05/2025	12:17	Daniele Chiarion	Add the admin part where to add the items of the site. 
09/05/2025	20:52	Daniele Chiarion	Change the configurator dimensions and colors. Replacing max length with the car type (coupé, suv ecc.)
10/05/2025  	10:52 	Davide Laghi 		Added Footer to the purchase list.
12/05/2025	17:14	Daniele Chiarion	Add id to the my pages for a future js implementation. 
12/05/2025	19:52	Daniele Chiarion	Completed add-car part for the admin
12/05/2025	20:12	Daniele Chiarion	Add car-brand section for admin
12/05/2025	20:40	Daniele Chiarion	Add optional section for admin
13/05/2025	10:19	Daniele Chiarion	Add html page to test if all the elements are ready
13/05/2025	11:06	Daniele Chiarion	Change the admin settings page with the choice of the file
13/05/2025	11:06	Daniele Chiarion	Add carousel with images in the car details
21/05/2025	18:39	Daniele Chiarion	Add .js code for pagination and spacer between footers and navbars. 
23/05/2025	17:56	Daniele Chiarion	Add .js code to show the sliders value on the configurator page.
23/05/2025	17:12	Daniele Chiarion	Do the same thing done before for the admin add-items page. 
23/05/2025	17:55	Daniele Chiarion	Add .js to remember the previous page. 
25/05/2025	14:55	Daniele Chiarion	Completed .js backend for car elements and vehicles.
25/05/2025	15:10	Daniele Chiarion	Completed .js backend for operation (only purchase is now necessary)
25/05/2025	15:35	Daniele Chiarion	Completed .js backend part for user and account functions.
25/05/2025	16:00	Daniele Chiarion	Completed .js backend class to manage a showroom.
25/05/2025	16:11	Daniele Chiarion	Completed .js backend class to manage the users.
25/05/2025	16:27	Daniele Chiarion	Add backend methods to save and load classes using the localStorage.
26/05/2025	17:05	Daniele Chiarion	Add toJSON and fromJSON method for each class to be saved on localStorage.
26/05/2025	17:49	Daniele Chiarion	Add login and logout function.
26/05/2025	18:28	Daniele Chiarion	Add custom-navbar .js code.
26/05/2025	18:48	Daniele Chiarion	Add .js to manage sign-up page.
27/05/2025	11:20	Daniele Chiarion	Add .js code for the admin to add car.
27/05/2025	20:04	Daniele Chiarion	Completed .js code to add items for the admin.
27/05/2025	20:59	Daniele Chiarion	Completed .js code to get the correct carousel starting from the device size.
28/05/2025	08:53	Daniele Chiarion	Add backed part with methods to show cars in the home page based on the user preferences.
28/05/2025	09:05	Daniele Chiarion	Add .js class to do research using ID. 
28/05/2025	18:02	Daniele Chiarion	Completed most sold cars output section.
28/05/2025	18:21	Daniele Chiarion	Completed user advice output section.
28/05/2025	20:00	Daniele Chiarion	Completed brand-show section and custom link to other pages.
29/05/2025	10:36	Daniele Chiarion	Completed .js to manage the button of the cards.
29/05/2025	14:48	Daniele Chiarion	Completed .js for wish-list page.
29/05/2025	17:04	Daniele Chiarion	Add methods to complete the purchase part for the user.
29/05/2025	20:50	Daniele Chiarion	Finished shopping cart-page. It needs to be checked.
29/05/2025	21:23	Daniele Chiarion	Add first part profile page to complete.
30/05/2025	17:11	Daniele Chiarion	Complete .js part to manage the profile page.
30/05/2025	17:55	Daniele Chiarion	Complete .js part for the purchase list of the user.
30/05/2025	21:03	Daniele Chiarion	Complete .js code for car-configurator. 
02/06/2025	17:55	Daniele Chiarion	Fix bug color purchaseList.
02/06/2025	18:10	Daniele Chiarion	Add .js file for car-details tools. 
02/06/2025	21:16	Daniele Chiarion	Started car-details page.
03/06/2025	10:33	Daniele Chiarion	Finished details page for the showroom. 
03/06/2025	11:20	Daniele Chiarion	Completed .js frontend part for the details of a car bought by the user.
03/06/2025	18:49	Daniele Chiarion	Completed .js code for theme page. 
03/06/2025	21:47	Daniele Chiarion	Completed .js for car search.
09/06/2025	16:47	Daniele Chiarion	Add contents in html to add items from .xlsx and .xls files.
10/06/2025	16:57	Daniele Chiarion	First attemp to download a brand file template succeeded. 
10/06/2025	17:06	Daniele Chiarion	Finished adding commands to download all the template files available.
10/06/2025	18:31	Daniele Chiarion	Completed sections to add brands by file. File name needs to be checked.
10/06/2025	16:00	Daniele Chiarion	Completed section to add optionals by file. When it's required a file input you can add a logo. 
12/06/2025	11:15	Daniele Chiarion	Completed writing the function to get the cars by the data of the spreadsheet. 
13/06/2025	15:33	Daniele Chiarion	Completed part of the site to add a car using files.
13/06/2025	15:57	Daniele Chiarion	Add modal for information about uploading content from files.
